usia,gender,state,ke,field,value
anak,pria,pesanan,1,dialog_pesanan,"Kak, boleh teh satu ya... yang hangat aja. Aku lagi pengin minum yang simpel dulu, soalnya kepala rasanya penuh banget hari ini."
anak,pria,pesanan,1,minuman_dipesan,"teh"
anak,pria,pesanan,2,dialog_pesanan,"Kak, boleh teh aja... yang hangat. Aku duduk sini dulu, ya."
anak,pria,pesanan,2,minuman_dipesan,"teh"
anak,pria,pesanan,3,dialog_pesanan,"Kak, aku pesen teh ya... yang hangat aja. Lagi pengin yang biasa-biasa dulu."
anak,pria,pesanan,3,minuman_dipesan,"teh"
anak,pria,pesanan,4,dialog_pesanan,"Kak, teh hangat ya... yang biasa aja. Kalau bisa jangan terlalu manis."
anak,pria,pesanan,4,minuman_dipesan,"teh"
anak,pria,pesanan,5,dialog_pesanan,"Kak, aku pesen teh aja ya... yang hangat. Boleh yang nggak terlalu manis."
anak,pria,pesanan,5,minuman_dipesan,"teh"
anak,pria,pesanan,6,dialog_pesanan,"Kak, saya pesan teh ya. Yang biasa aja, nggak usah aneh-aneh... hari ini pengin minum yang aman dulu."
anak,pria,pesanan,6,minuman_dipesan,"teh"
anak,pria,pesanan,7,dialog_pesanan,"Eh, kak, aku pesen teh ya... yang hangat aja. Jangan terlalu manis, aku lagi pengin yang biasa-biasa aja."
anak,pria,pesanan,7,minuman_dipesan,"teh"
anak,pria,pesanan,8,dialog_pesanan,"Kak, saya pesan teh, ya. Yang biasa aja... hangat."
anak,pria,pesanan,8,minuman_dipesan,"teh"
anak,pria,pesanan,9,dialog_pesanan,"Kak, teh hangat aja... yang biasa. Boleh cepat, ya."
anak,pria,pesanan,9,minuman_dipesan,"teh"
anak,pria,pesanan,10,dialog_pesanan,"Eh, kak... saya pesen teh, ya. Yang hangat aja, nggak usah aneh-aneh. Terima kasih."
anak,pria,pesanan,10,minuman_dipesan,"teh"
anak,wanita,pesanan,1,dialog_pesanan,"Kak, aku... teh aja, ya. Yang hangat, kalau bisa, soalnya hari ini rasanya kepala aku kayak penuh kertas gambar yang ketiup angin."
anak,wanita,pesanan,1,minuman_dipesan,"teh"
anak,wanita,pesanan,2,dialog_pesanan,"Kak, boleh teh hangat satu, ya... yang biasa aja. Aku duduk sini dulu, boleh?"
anak,wanita,pesanan,2,minuman_dipesan,"teh"
anak,wanita,pesanan,3,dialog_pesanan,"Kak, aku pesan teh ya... yang hangat aja. Boleh yang biasa, aku lagi pengin minum yang simpel dulu."
anak,wanita,pesanan,3,minuman_dipesan,"teh"
anak,wanita,pesanan,4,dialog_pesanan,"Kak, aku mau teh, ya... yang hangat. Hari ini rasanya pengin yang tenang aja, kayak air yang diam di cangkir. Terima kasih, kak."
anak,wanita,pesanan,4,minuman_dipesan,"teh"
anak,wanita,pesanan,5,dialog_pesanan,"Kak, aku pesan teh ya... yang hangat, boleh. Aku lagi pengin yang rasanya tenang, kayak hujan kecil di jendela."
anak,wanita,pesanan,5,minuman_dipesan,"teh"
anak,wanita,pesanan,6,dialog_pesanan,"Kak, aku pesan teh ya... yang hangat aja. Hmm, boleh dibuat sedikit manis? Aku lagi pengen yang tenang-tenang dulu."
anak,wanita,pesanan,6,minuman_dipesan,"teh"
anak,wanita,pesanan,7,dialog_pesanan,"Kak, boleh teh hangat satu? Yang biasa aja. ...Aku lagi pengen minum yang simpel dulu."
anak,wanita,pesanan,7,minuman_dipesan,"teh"
anak,wanita,pesanan,8,dialog_pesanan,"Kak, aku pesan teh saja. Yang hangat ya... aku lagi pengin yang biasa-biasa aja."
anak,wanita,pesanan,8,minuman_dipesan,"teh"
anak,wanita,pesanan,9,dialog_pesanan,"Kak, boleh minta teh ya... yang hangat, kalau ada. Aku lagi pengin yang rasanya tenang, kayak sore yang nggak buru-buru."
anak,wanita,pesanan,9,minuman_dipesan,"teh"
anak,wanita,pesanan,10,dialog_pesanan,"Kak, aku mau teh... yang hangat, ya. Hari ini rasanya kayak awan tebal sedikit, jadi pengin yang sederhana dulu."
anak,wanita,pesanan,10,minuman_dipesan,"teh"
remaja,pria,pesanan,1,dialog_pesanan,"Kak, teh hangat aja ya... yang biasa. Lagi pengin yang simpel dulu, capek mikirnya."
remaja,pria,pesanan,1,minuman_dipesan,"teh"
remaja,pria,pesanan,2,dialog_pesanan,"Kak, teh hangat aja ya... yang biasa. Lagi pengin yang simpel dulu."
remaja,pria,pesanan,2,minuman_dipesan,"teh"
remaja,pria,pesanan,3,dialog_pesanan,"Kak, teh hangat aja ya... yang biasa. Lagi pengen yang simpel dulu, nggak ribet."
remaja,pria,pesanan,3,minuman_dipesan,"teh"
remaja,pria,pesanan,4,dialog_pesanan,"Kak, teh aja ya... yang hangat. Lagi pengen yang simpel dulu, nggak usah aneh-aneh."
remaja,pria,pesanan,4,minuman_dipesan,"teh"
remaja,pria,pesanan,5,dialog_pesanan,"Kak, teh panas aja. Yang biasa, nggak usah aneh-aneh. Habis ini aku duduk bentar dulu, capek abis latihan."
remaja,pria,pesanan,5,minuman_dipesan,"teh"
remaja,pria,pesanan,6,dialog_pesanan,"Kak, aku pesan teh aja ya... yang hangat kalau ada. Lagi pengen yang simpel dulu, soalnya kepala rasanya penuh banget hari ini."
remaja,pria,pesanan,6,minuman_dipesan,"teh"
remaja,pria,pesanan,7,dialog_pesanan,"Kak, teh aja ya... yang hangat. Beneran, saya lagi pengin yang simpel dulu, jangan macem-macem."
remaja,pria,pesanan,7,minuman_dipesan,"teh"
remaja,wanita,pesanan,10,dialog_pesanan,"Kak, aku pesan teh aja ya... yang hangat. Lagi pengen yang simpel, ih, serius, hari ini capek banget."
remaja,wanita,pesanan,10,minuman_dipesan,"teh"
dewasa,pria,pesanan,1,dialog_pesanan,"Teh hangat, kak. Yang biasa saja, ya... saya lagi nggak butuh yang macam-macam."
dewasa,pria,pesanan,1,minuman_dipesan,"teh"
dewasa,pria,pesanan,2,dialog_pesanan,"Mbak, teh hangat satu, ya, kak. Boleh yang biasa saja, nggak usah terlalu manis. Makasih."
dewasa,pria,pesanan,2,minuman_dipesan,"teh"
dewasa,pria,pesanan,3,dialog_pesanan,"Kak, saya pesan teh saja. Yang hangat, ya… tolong jangan terlalu manis."
dewasa,pria,pesanan,3,minuman_dipesan,"teh"
dewasa,pria,pesanan,4,dialog_pesanan,"Kak, saya pesan teh, ya. Panas aja... hari ini rasanya butuh yang simpel."
dewasa,pria,pesanan,4,minuman_dipesan,"teh"
dewasa,pria,pesanan,5,dialog_pesanan,"Kak, saya pesan teh saja. Panas, yang biasa."
dewasa,pria,pesanan,5,minuman_dipesan,"teh"
dewasa,pria,pesanan,6,dialog_pesanan,"Teh biasa saja, kak. Hangat, tanpa gula. Saya duduk sebentar dulu."
dewasa,pria,pesanan,6,minuman_dipesan,"teh"
dewasa,pria,pesanan,7,dialog_pesanan,"Kak, saya pesan teh saja. Yang hangat, tanpa tambahan macam-macam. Cepat kalau bisa, saya lagi dikejar waktu."
dewasa,pria,pesanan,7,minuman_dipesan,"teh"
dewasa,pria,pesanan,8,dialog_pesanan,"Kak, saya pesan teh hangat saja. Yang biasa, ya... tanpa macem-macem."
dewasa,pria,pesanan,8,minuman_dipesan,"teh"
dewasa,pria,pesanan,9,dialog_pesanan,"Kak, saya pesan teh saja. Yang hangat, ya... nggak usah terlalu lama, saya lagi buru-buru."
dewasa,pria,pesanan,9,minuman_dipesan,"teh"
dewasa,pria,pesanan,10,dialog_pesanan,"Kak, teh hangat satu. Cepat ya, saya lagi butuh yang sederhana."
dewasa,pria,pesanan,10,minuman_dipesan,"teh"
