label,jenis,teks,skor_critic
good,original,"Eh kak, akhirnya sampai juga! Pesen Green Tea ya kak, soalnya kepala aku penuh banget tadi mulai dari deadline tugas kelompok yang dimajuin besok sampe anggota tim yang pada ngilang. Serius deh, butuh teh buat ngecabin malam nanti. Makasih ya kak!",4.25
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.5
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.5
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.75
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.5
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.75
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.75
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.75
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.5
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.5
good,rephrase,"Eh kak, akhirnya tiba juga! Aku pesan Green Tea ya kak, karena kepala lagi penuh banget, dari deadline tugas kelompok yang dimajuin jadi besok sampai anggota tim yang semuanya menghilang. Beneran deh, aku perlu teh buat ngelewatin malam nanti. Makasih ya kak!",4.625
