iterasi,skor_critic,lulus_threshold,dialog_berubah,waktu_iterasi_detik,dim_interesting,dim_engaging,dim_specific,dim_relevant,dim_correct,dim_semantically_appropriate,dim_understandable,dim_fluent
1,3.5,False,True,12.804,2,2,3,5,2,5,5,4
2,4.625,True,True,10.104,4,4,5,5,4,5,5,5
3,4.25,True,True,10.682,3,4,4,5,3,5,5,5
4,4.25,True,True,12.225,4,3,4,5,3,5,5,5
5,4.25,True,True,9.177,4,3,4,5,3,5,5,5
6,3.875,False,True,14.974,3,3,3,5,2,5,5,5
7,4.875,True,True,8.845,5,4,5,5,5,5,5,5
8,4.5,True,True,10.9,4,4,5,5,3,5,5,5
9,4.125,True,True,12.678,3,3,4,5,3,5,5,5
10,4.375,True,True,12.06,4,4,4,5,3,5,5,5
